Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
257253_at	ct04-spike	A. thaliana	longday	4	0.816904	503.115,1083.42,503.115,503.115,503.115,503.115,503.115,1083.42,503.115,503.115,503.115,503.115
257710_at	AT3G27350	A. thaliana	longday	0	0.928081	202.722,225.643,87.7139,62.8275,134.231,171.254,278.737,191.621,72.6516,64.7146,115.412,167.007
257710_at	cos_per_24_ph_0	A. thaliana	longday	0	0.928081	235.657,191.768,103.988,60.0985,103.988,191.768,235.657,191.768,103.988,60.0985,103.988,191.768
251563_at	AT3G57880	A. thaliana	longday	0	0.894936	81.1983,70.2,36.1392,40.9981,46.4281,59.3794,90.9453,74.6742,36.1758,47.0287,42.1181,57.5295
251563_at	ct00-sine	A. thaliana	longday	0	0.894936	76.9392,70.2599,43.5426,36.8633,43.5426,70.2599,76.9392,70.2599,43.5426,36.8633,43.5426,70.2599
251454_at	AT3G60080	A. thaliana	longday	0	0.910417	146.243,134.774,56.6431,53.9201,91.6683,99.5005,179.59,126.641,57.5987,48.6361,98.0002,103.802
251454_at	ct00-rigid	A. thaliana	longday	0	0.910417	156.386,118.63,80.8733,43.1171,80.8733,118.63,156.386,118.63,80.8733,43.1171,80.8733,118.63
251322_at	AT3G61440	A. thaliana	longday	0	0.899244	4490.5,4727.67,3590.16,3628.07,3607.04,4742.1,4171.47,4202.28,3911.87,3590.2,3519.34,4936.56
251322_at	ct00-box1	A. thaliana	longday	0	0.899244	4545.1,4545.1,3641.11,3641.11,3641.11,4545.1,4545.1,4545.1,3641.11,3641.11,3641.11,4545.1
255284_at	AT4G04610	A. thaliana	longday	5	0.889282	425.993,889.351,602.498,528.979,527.697,339.384,382.323,834.795,581.355,495.348,542.009,256.156
255284_at	ct05-spike	A. thaliana	longday	5	0.889282	439.019,865.64,581.226,439.019,439.019,439.019,439.019,865.64,581.226,439.019,439.019,439.019
255065_s_at	AT4G08870	A. thaliana	longday	6	0.901999	411.826,1387.49,925.477,519.969,773.564,280.301,383.99,1442.07,1195.36,413.135,609.076,250.583
255065_s_at	ct06-spike	A. thaliana	longday	6	0.901999	455.306,1237.6,1237.6,455.306,455.306,455.306,455.306,1237.6,1237.6,455.306,455.306,455.306
254691_at	AT4G17840	A. thaliana	longday	5	0.875966	245.108,760.754,345.418,274.073,416.228,183.676,307.083,717.1,408.019,228.499,478.533,146.517
254691_at	ct05-spike	A. thaliana	longday	5	0.875966	276.842,722.682,425.455,276.842,276.842,276.842,276.842,722.682,425.455,276.842,276.842,276.842
253951_at	AT4G26860	A. thaliana	longday	0	0.930664	466.789,470.497,223.233,158.097,324.674,434.537,525.109,476.226,257.496,145.937,377.278,411.954
253951_at	cos_per_24_ph_0	A. thaliana	longday	0	0.930664	521.507,438.746,273.225,190.464,273.225,438.746,521.507,438.746,273.225,190.464,273.225,438.746
253200_at	AT4G34720	A. thaliana	longday	5	0.850633	1874.24,2111.6,1949.23,1915.94,1757.66,1809.55,1686.98,2037.91,1835.92,1797.19,1790.74,1717.12
253200_at	ct05-spike	A. thaliana	longday	5	0.850633	1794.39,2076.17,1888.32,1794.39,1794.39,1794.39,1794.39,2076.17,1888.32,1794.39,1794.39,1794.39
