Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
262290_at	AT1G70985	A. thaliana	longday	5	0.88579	8.22165,14.0479,8.85995,8.61452,9.64647,6.33842,10.3901,15.8133,10.4611,7.11642,9.32753,9.09596
262290_at	ct05-spike	A. thaliana	longday	5	0.88579	8.4513,14.6455,10.516,8.4513,8.4513,8.4513,8.4513,14.6455,10.516,8.4513,8.4513,8.4513
259922_at	AT1G72770	A. thaliana	longday	3	0.915357	602.995,983.658,155.778,225.415,490.367,254.085,503.985,882.878,335.535,274.936,512.064,271.905
259922_at	ct03-spike	A. thaliana	longday	3	0.915357	526.986,942.102,319.428,319.428,319.428,319.428,526.986,942.102,319.428,319.428,319.428,319.428
262940_at	AT1G79520	A. thaliana	longday	5	0.919599	265.967,583.97,259.428,154.799,251.244,141.425,211.678,603.17,317.839,141.738,305.084,75.8433
262940_at	ct05-spike	A. thaliana	longday	5	0.919599	188.262,583.151,319.892,188.262,188.262,188.262,188.262,583.151,319.892,188.262,188.262,188.262
263410_at	AT2G04039	A. thaliana	longday	3	0.804182	731.419,1083.57,625.233,207.421,740.32,509.337,838.161,1076.82,606.742,196.121,663.862,477.882
263410_at	ct03-spike	A. thaliana	longday	3	0.804182	711.851,1104.51,515.521,515.521,515.521,515.521,711.851,1104.51,515.521,515.521,515.521,515.521
263809_at	AT2G04570	A. thaliana	longday	2	0.810885	135.684,154.625,104.631,83.6976,128.105,66.4827,138.583,119.487,85.2327,72.8228,83.7703,73.8521
263809_at	ct02-spike	A. thaliana	longday	2	0.810885	137.095,137.095,87.3243,87.3243,87.3243,87.3243,137.095,137.095,87.3243,87.3243,87.3243,87.3243
265892_at	AT2G15020	A. thaliana	longday	4	0.993665	33.6627,338.544,24.2676,8.45248,24.4774,6.47025,48.8473,359.8,30.556,5.96211,33.7875,4.90491
265892_at	ct04-spike	A. thaliana	longday	4	0.993665	22.1388,349.172,22.1388,22.1388,22.1388,22.1388,22.1388,349.172,22.1388,22.1388,22.1388,22.1388
263097_at	AT2G16070	A. thaliana	longday	3	0.923185	280.735,470.358,205.48,139.804,197.22,187.871,312.975,414.698,290.11,165.24,189.282,144.089
